customer_id,customer_type,product,category,unit_price,quantity,discount,total_price,region,order_date,cluster
504,0,42,3,1.66,53,0.1,79.18,0,2023-08-23,1
504,0,9,3,1.56,90,0.1,126.36,0,2023-08-23,1
504,0,38,2,1.17,73,0.05,81.14,0,2023-08-23,1
504,0,29,1,3.22,59,0.1,170.98,0,2023-08-23,1
504,0,12,3,0.87,35,0.1,27.4,0,2023-08-23,1
1888,1,35,0,9.09,2,0.0,18.18,14,2023-03-16,0
819,0,40,1,2.14,44,0.1,84.74,5,2022-11-20,1
819,0,43,3,0.43,13,0.05,5.31,5,2022-11-20,0
819,0,34,3,1.21,92,0.1,100.19,5,2022-11-20,1
819,0,9,3,1.38,3,0.05,3.93,5,2022-11-20,0
1307,1,25,2,0.99,11,0.0,10.89,1,2023-11-05,0
7079,0,15,1,1.52,8,0.05,11.55,1,2023-08-05,0
7079,0,30,2,2.13,16,0.05,32.38,1,2023-08-05,0
7079,0,4,0,6.45,3,0.05,18.38,1,2023-08-05,0
7079,0,39,0,33.36,43,0.15,1219.31,1,2023-08-05,1
4413,0,33,0,5.89,44,0.05,246.2,11,2023-02-18,1
4413,0,21,1,2.5,10,0.05,23.75,11,2023-02-18,0
4413,0,0,3,0.82,13,0.05,10.13,11,2023-02-18,0
4413,0,25,2,1.87,89,0.15,141.47,11,2023-02-18,1
4413,0,31,0,11.48,21,0.05,229.03,11,2023-02-18,0
8522,1,42,3,1.61,13,0.0,20.93,0,2021-01-12,0
8522,1,29,1,2.31,7,0.0,16.17,0,2021-01-12,0
6079,1,13,1,1.64,2,0.0,3.28,14,2022-12-03,0
6079,1,10,2,1.19,15,0.0,17.85,14,2022-12-03,0
5118,1,15,1,1.8,2,0.0,3.6,15,2022-06-23,0
5118,1,32,2,2.27,10,0.0,22.7,15,2022-06-23,0
8629,0,5,2,2.31,33,0.05,72.42,1,2023-04-09,0
8629,0,38,2,1.19,84,0.1,89.96,1,2023-04-09,1
8629,0,42,3,1.96,79,0.1,139.36,1,2023-04-09,1
2612,0,19,0,1.71,77,0.15,111.92,3,2021-01-05,1
1937,1,8,0,2.04,14,0.0,28.56,9,2023-04-13,0
1937,1,13,1,1.69,7,0.0,11.83,9,2023-04-13,0
1937,1,45,3,1.46,2,0.0,2.92,9,2023-04-13,0
1937,1,44,3,0.58,9,0.0,5.22,9,2023-04-13,0
1937,1,10,2,1.23,11,0.0,13.53,9,2023-04-13,0
5968,1,33,0,8.54,6,0.0,51.24,7,2023-02-06,0
5968,1,45,3,1.46,3,0.0,4.38,7,2023-02-06,0
5968,1,36,2,1.27,4,0.0,5.08,7,2023-02-06,0
5968,1,11,2,2.12,11,0.0,23.32,7,2023-02-06,0
832,1,5,2,2.19,3,0.0,6.57,13,2022-10-16,0
832,1,33,0,8.29,13,0.0,107.77,13,2022-10-16,0
832,1,40,1,3.33,2,0.0,6.66,13,2022-10-16,0
832,1,6,2,1.07,3,0.0,3.21,13,2022-10-16,0
2133,1,37,3,0.46,9,0.0,4.14,7,2021-10-15,0
2133,1,7,1,3.46,7,0.0,24.22,7,2021-10-15,0
1555,1,31,0,4.32,13,0.0,56.16,9,2023-03-20,0
8752,0,7,1,2.71,36,0.15,82.93,8,2021-07-13,1
8752,0,10,2,0.94,90,0.1,76.14,8,2021-07-13,1
8752,0,29,1,2.91,80,0.1,209.52,8,2021-07-13,1
3116,0,23,2,1.53,92,0.1,126.68,5,2021-12-15,1
3116,0,11,2,2.52,65,0.1,147.42,5,2021-12-15,1
941,1,5,2,2.26,5,0.0,11.3,10,2023-04-05,0
941,1,3,0,1.41,14,0.0,19.74,10,2023-04-05,0
941,1,39,0,35.65,14,0.0,499.1,10,2023-04-05,0
941,1,30,2,2.35,12,0.0,28.2,10,2023-04-05,0
941,1,42,3,1.71,4,0.0,6.84,10,2023-04-05,0
201,0,43,3,0.78,74,0.1,51.95,4,2022-02-09,1
201,0,3,0,1.13,36,0.05,38.65,4,2022-02-09,0
893,1,5,2,2.13,3,0.0,6.39,12,2021-03-24,0
893,1,44,3,0.55,12,0.0,6.6,12,2021-03-24,0
893,1,0,3,0.93,9,0.0,8.37,12,2021-03-24,0
2711,1,29,1,2.38,6,0.0,14.28,4,2022-09-19,0
2711,1,27,1,3.02,9,0.0,27.18,4,2022-09-19,0
2711,1,3,0,1.37,9,0.0,12.33,4,2022-09-19,0
5498,1,23,2,0.61,1,0.0,0.61,14,2022-03-04,0
5498,1,11,2,2.05,10,0.0,20.5,14,2022-03-04,0
5498,1,24,2,3.21,2,0.0,6.42,14,2022-03-04,0
415,1,43,3,0.56,4,0.0,2.24,9,2021-01-24,0
415,1,1,0,1.09,12,0.0,13.08,9,2021-01-24,0
415,1,24,2,3.12,8,0.0,24.96,9,2021-01-24,0
415,1,28,2,1.49,2,0.0,2.98,9,2021-01-24,0
415,1,45,3,1.38,1,0.0,1.38,9,2021-01-24,0
1709,0,35,0,3.55,20,0.05,67.45,5,2023-11-16,0
1709,0,40,1,2.25,53,0.1,107.32,5,2023-11-16,1
7673,1,5,2,2.26,15,0.0,33.9,6,2023-04-23,0
7673,1,24,2,3.31,3,0.0,9.93,6,2023-04-23,0
2443,0,11,2,2.33,23,0.05,50.91,9,2023-11-14,0
2443,0,34,3,0.9,57,0.05,48.74,9,2023-11-14,1
2443,0,4,0,7.01,61,0.1,384.85,9,2023-11-14,1
2443,0,28,2,0.8,15,0.05,11.4,9,2023-11-14,0
1194,0,15,1,1.5,10,0.05,14.25,9,2023-08-14,0
1194,0,24,2,2.43,56,0.05,129.28,9,2023-08-14,1
2924,0,1,0,2.52,92,0.1,208.66,13,2023-08-19,1
8637,0,22,0,6.03,32,0.05,183.31,15,2021-04-15,0
8637,0,20,0,1.78,69,0.1,110.54,15,2021-04-15,1
8637,0,7,1,2.27,57,0.1,116.45,15,2021-04-15,1
1176,0,44,3,0.57,48,0.1,24.62,5,2023-06-02,1
1176,0,25,2,0.85,37,0.05,29.88,5,2023-06-02,0
1176,0,21,1,2.59,22,0.05,54.13,5,2023-06-02,0
1176,0,9,3,1.56,65,0.1,91.26,5,2023-06-02,1
1051,1,8,0,2.04,4,0.0,8.16,1,2023-04-12,0
1051,1,2,0,14.26,9,0.0,128.34,1,2023-04-12,0
7365,0,46,0,1.57,70,0.1,98.91,8,2023-04-06,1
7365,0,29,1,2.74,44,0.05,114.53,8,2023-04-06,1
7365,0,26,0,31.66,34,0.05,1022.62,8,2023-04-06,1
3635,1,20,0,0.99,14,0.0,13.86,9,2023-06-29,0
3635,1,40,1,3.43,13,0.0,44.59,9,2023-06-29,0
3635,1,31,0,4.32,7,0.0,30.24,9,2023-06-29,0
1700,1,7,1,3.67,13,0.0,47.71,0,2023-12-15,0
1700,1,15,1,1.86,11,0.0,20.46,0,2023-12-15,0
1700,1,26,0,72.7,4,0.0,290.8,0,2023-12-15,2
1700,1,9,3,1.31,13,0.0,17.03,0,2023-12-15,0
1772,0,31,0,7.46,17,0.1,114.14,7,2023-01-02,1
8223,1,40,1,3.23,12,0.0,38.76,15,2021-08-21,0
8223,1,17,0,1.88,15,0.0,28.2,15,2021-08-21,0
8223,1,0,3,0.93,12,0.0,11.16,15,2021-08-21,0
8223,1,29,1,2.31,3,0.0,6.93,15,2021-08-21,0
8303,0,15,1,3.24,93,0.1,271.19,14,2023-06-30,1
8303,0,20,0,0.9,16,0.05,13.68,14,2023-06-30,0
8303,0,35,0,9.31,15,0.05,132.67,14,2023-06-30,0
8303,0,6,2,0.68,44,0.1,26.93,14,2023-06-30,1
